[2026-05-21 12:38:20,724: INFO: main: Welcome to custom logging in Python!]
[2026-05-21 16:36:30,929: INFO: common: YAML file 'config\config.yaml' Loading successfully.]
[2026-05-21 16:36:30,938: INFO: common: YAML file 'params.yaml' Loading successfully.]
[2026-05-21 16:36:30,939: ERROR: common: Error while converting YAML content to ConfigBox: Cannot extrapolate Box from string]
[2026-05-21 16:38:11,440: INFO: common: YAML file 'config\config.yaml' Loading successfully.]
[2026-05-21 16:38:11,443: INFO: common: YAML file 'params.yaml' Loading successfully.]
[2026-05-21 16:38:11,444: ERROR: common: Error while converting YAML content to ConfigBox: Cannot extrapolate Box from string]
[2026-05-21 16:38:13,325: INFO: common: YAML file 'config\config.yaml' Loading successfully.]
[2026-05-21 16:38:13,328: INFO: common: YAML file 'params.yaml' Loading successfully.]
[2026-05-21 16:38:13,330: ERROR: common: Error while converting YAML content to ConfigBox: Cannot extrapolate Box from string]
[2026-05-21 16:38:28,442: INFO: common: YAML file 'config\config.yaml' Loading successfully.]
[2026-05-21 16:38:28,444: INFO: common: YAML file 'params.yaml' Loading successfully.]
[2026-05-21 16:38:28,446: ERROR: common: Error while converting YAML content to ConfigBox: Cannot extrapolate Box from string]
[2026-05-21 16:38:59,627: INFO: common: YAML file 'config\config.yaml' Loading successfully.]
[2026-05-21 16:38:59,629: INFO: common: YAML file 'params.yaml' Loading successfully.]
[2026-05-21 16:38:59,630: ERROR: common: Error while converting YAML content to ConfigBox: Cannot extrapolate Box from string]
[2026-05-21 16:40:03,390: INFO: common: YAML file 'config\config.yaml' Loading successfully.]
[2026-05-21 16:40:03,392: INFO: common: YAML file 'params.yaml' Loading successfully.]
[2026-05-21 16:40:03,393: ERROR: common: Error while converting YAML content to ConfigBox: Cannot extrapolate Box from string]
[2026-05-21 16:40:38,883: INFO: common: YAML file 'config\config.yaml' Loading successfully.]
[2026-05-21 16:40:38,885: INFO: common: YAML file 'params.yaml' Loading successfully.]
[2026-05-21 16:40:38,885: ERROR: common: Error while converting YAML content to ConfigBox: Cannot extrapolate Box from string]
[2026-05-21 16:40:44,327: INFO: common: YAML file 'config\config.yaml' Loading successfully.]
[2026-05-21 16:40:44,329: INFO: common: YAML file 'params.yaml' Loading successfully.]
[2026-05-21 16:40:44,330: ERROR: common: Error while converting YAML content to ConfigBox: Cannot extrapolate Box from string]
[2026-05-21 16:41:37,861: ERROR: common: Error while reading YAML file: [Errno 2] No such file or directory: 'schema.yaml']
[2026-05-21 16:41:48,133: ERROR: common: Error while reading YAML file: [Errno 2] No such file or directory: 'schema.yaml']
[2026-05-21 16:51:07,620: INFO: common: YAML file 'schema.yaml' Loading successfully.]
[2026-05-21 16:51:07,624: INFO: common: YAML file 'config\config.yaml' Loading successfully.]
[2026-05-21 16:51:07,625: INFO: common: YAML file 'params.yaml' Loading successfully.]
[2026-05-21 16:51:07,625: ERROR: common: Error while converting YAML content to ConfigBox: Cannot extrapolate Box from string]
[2026-05-21 16:52:40,898: INFO: common: YAML file 'config\config.yaml' Loading successfully.]
[2026-05-21 16:52:40,902: INFO: common: YAML file 'params.yaml' Loading successfully.]
[2026-05-21 16:52:40,904: ERROR: common: Error while converting YAML content to ConfigBox: Cannot extrapolate Box from string]
[2026-05-21 16:53:47,224: INFO: common: YAML file 'config\config.yaml' Loading successfully.]
[2026-05-21 16:53:47,227: INFO: common: YAML file 'params.yaml' Loading successfully.]
[2026-05-21 16:53:47,228: ERROR: common: Error while converting YAML content to ConfigBox: Cannot extrapolate Box from string]
[2026-05-21 16:54:03,678: INFO: common: YAML file 'config\config.yaml' Loading successfully.]
[2026-05-21 16:54:03,681: INFO: common: YAML file 'params.yaml' Loading successfully.]
[2026-05-21 16:54:03,683: ERROR: common: Error while converting YAML content to ConfigBox: Cannot extrapolate Box from string]
[2026-05-21 16:54:51,952: INFO: common: YAML file 'config\config.yaml' Loading successfully.]
[2026-05-21 16:54:51,953: INFO: common: YAML file 'params.yaml' Loading successfully.]
[2026-05-21 16:54:51,954: ERROR: common: Error while converting YAML content to ConfigBox: Cannot extrapolate Box from string]
[2026-05-21 16:56:30,664: INFO: common: YAML file 'config\config.yaml' Loading successfully.]
[2026-05-21 16:56:30,667: INFO: common: YAML file 'params.yaml' Loading successfully.]
[2026-05-21 16:56:30,670: INFO: common: YAML file 'schema.yaml' Loading successfully.]
[2026-05-21 16:56:30,672: INFO: common: Directories created successfully: ['artifacts']]
[2026-05-21 16:58:14,622: INFO: common: YAML file 'config\config.yaml' Loading successfully.]
[2026-05-21 16:58:14,624: INFO: common: YAML file 'params.yaml' Loading successfully.]
[2026-05-21 16:58:14,626: INFO: common: YAML file 'schema.yaml' Loading successfully.]
[2026-05-21 16:58:14,630: INFO: common: Directories created successfully: ['artifacts']]
[2026-05-21 16:58:14,632: INFO: common: Directories created successfully: ['artifacts/data_ingestion']]
[2026-05-21 18:36:28,872: INFO: common: YAML file 'config\config.yaml' Loading successfully.]
[2026-05-21 18:36:28,873: INFO: common: YAML file 'params.yaml' Loading successfully.]
[2026-05-21 18:36:28,874: INFO: common: YAML file 'schema.yaml' Loading successfully.]
[2026-05-21 18:36:28,874: INFO: common: Directories created successfully: ['artifacts']]
[2026-05-21 18:36:28,875: INFO: common: Directories created successfully: ['artifacts/data_ingestion']]
